pp_name,premises,latitude,longitude
Burwood Heights,Burwood Heights Primary School,-37.84675276,145.1633682
Burwood West,1st Glen Iris Scout Hall,-37.85258603,145.0690547
Buxton,Buxton Primary School,-37.42175301,145.7089903
Byrneside,Byrneside Public Hall,-36.42091723,145.1746793
Cabarita,The Lake Primary School,-34.20596063,142.093692
Cairnlea,Cairnlea Park Primary School,-37.75872034,144.7883305
Calder Rise,Overnewton Gatehouse Hall,-37.70935664,144.8204139
Caledonian,Caledonian Primary School,-37.55521924,143.8938721
Caledonian,Caledonian Primary School,-37.55521924,143.8938721
California Gully,California Gully Mechanics Institute Hall,-36.73460538,144.2569507
Calivil,Calivil Public Hall,-36.29883577,144.0721735
Camberwell,Camberwell Primary School,-37.83357229,145.0575368
Camberwell Middle,Camberwell Church of Christ,-37.83276266,145.0658295
Camberwell South,Camberwell South Primary School,-37.84815154,145.0627366
Camberwell South,Camberwell South Primary School,-37.84815154,145.0627366
Cambridge,Cambridge Primary School,-37.86745716,144.6755015
Camelot,Camelot Rise Primary School,-37.86516796,145.1877839
Campbellfield,Campbellfield Heights Primary School,-37.67461741,144.9648247
Campbells Creek,Campbells Creek Primary School,-37.09313158,144.2040282
Camperdown,Camperdown P-12 College,-38.23874252,143.1445819
Canadian,Canadian Lead Primary School,-37.57227047,143.8760161
Cann River,Cann River Public Hall,-37.56852967,149.1529762
Canterbury,Canterbury Girls Secondary College,-37.81977155,145.0702198
Canterbury,Canterbury Girls Secondary College,-37.81977155,145.0702198
Canterbury Gardens,The Basin Primary School,-37.84946171,145.3083506
Canterbury South,Camberwell High School,-37.83011851,145.0733325
Cape Clear,Cape Clear Hall,-37.79211301,143.6096783
Cape Paterson,Cape Paterson Community Hall,-38.66978154,145.6211638
Caramut,Caramut War Memorial Hall,-37.9568426,142.5197668
Cardross,Cardross Primary School,-34.28801312,142.1445285
Carisbrook,Carisbrook Primary School,-37.05144675,143.8126353
Carlton,Kathleen Syme Library and Community Centre,-37.79862066,144.9653286
Carlton Central,Carlton North Primary School,-37.79064191,144.972708
Carlton North,St Michael's Anglican Church Hall,-37.78507711,144.9682488
Carnegie,Carnegie Primary School,-37.89038094,145.0543734
Carnegie East,St Peter's Parish Hall,-37.89026553,145.0622797
Carnegie North,1st Malvern Scout Hall,-37.88004806,145.0675294
Carnegie West,St Anthony's Parish Primary School,-37.88653245,145.0466633
Caroline Springs,Catholic Regional College - Caroline Springs Campus,-37.73062169,144.7397333
Carpendeit,Carpendeit Public Hall,-38.37023026,143.2415567
Carrington,Carrington Primary School,-37.89185409,145.2471212
Carrum,Carrum Primary School,-38.078983,145.1261358
Carrum Downs,Carrum Downs Secondary College,-38.0954251,145.1975213
Carrum Downs Central,St Joachim's Catholic Primary School,-38.10361668,145.1781282
Casey Central,Alkira Secondary College,-38.0732593,145.3077855
Casey Fields,Casey Fields Primary School,-38.11996725,145.2972311
Casey Fields,Casey Fields Primary School,-38.11996725,145.2972311
Casterton,Casterton Town Hall,-37.58464806,141.4052093
Castlemaine,St Mary's Castlemaine Catholic Parish Church Hall,-37.06463534,144.2197794
Castlemaine North,Castlemaine Secondary College,-37.05005893,144.2272917
Catani,Catani Recreation Reserve,-38.19444255,145.6400447
Caulfield East,Glen Eira College,-37.8853373,145.0374157
Caulfield North,Caulfield Indonesian Uniting Church Hall,-37.87191237,145.0193885
Caulfield South,4th Caulfield Scout Hall,-37.89275324,145.0213978
Caulfield Upper,Mackillop Education Caulfield Campus ,-37.87354149,145.0259041
Caulfield West,Shelford Girls' Grammar,-37.87697597,145.0118443
Cavendish,Cavendish Memorial Hall,-37.52800334,142.0399227
Caversham,John Henry Primary School,-38.07749126,145.4428813
Centre Road,Berwick Fields Primary School,-38.04921651,145.3344845
Ceres,Ceres Temperance Hall,-38.17018747,144.276605
Chadstone,Malvern Valley Primary School,-37.88045273,145.0826416
