sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3111504,0.2758,0.2954,0.0,0.2954,0.3421,0.0372,0.0495,0.0,0.3959,0.0,0.3959,0.6041,0.0,0.0,0.6124,0.3876
3111505,0.2806,0.3041,0.0,0.3041,0.3348,0.0346,0.0458,0.0,0.407,0.0,0.407,0.593,0.0,0.0,0.6066,0.3934
3111506,0.2827,0.3053,0.0,0.3053,0.3299,0.0349,0.0472,0.0,0.4092,0.0,0.4092,0.5908,0.0,0.0,0.6052,0.3948
3111507,0.2799,0.3074,0.0,0.3074,0.3315,0.0352,0.046,0.0,0.4094,0.0,0.4094,0.5906,0.0,0.0,0.6027,0.3973
3111508,0.283,0.3131,0.0,0.3131,0.3276,0.0331,0.0432,0.0,0.4155,0.0,0.4155,0.5845,0.0,0.0,0.5996,0.4004
3111509,0.2773,0.3016,0.0,0.3016,0.3334,0.0379,0.0498,0.0,0.4065,0.0,0.4065,0.5935,0.0,0.0,0.6045,0.3955
3111510,0.2791,0.3045,0.0,0.3045,0.3352,0.0349,0.0463,0.0,0.4039,0.0,0.4039,0.5961,0.0,0.0,0.6062,0.3938
3111511,0.2788,0.3049,0.0,0.3049,0.3352,0.0348,0.0464,0.0,0.4055,0.0,0.4055,0.5945,0.0,0.0,0.6055,0.3945
3111512,0.279,0.3048,0.0,0.3048,0.3322,0.0366,0.0475,0.0,0.4089,0.0,0.4089,0.5911,0.0,0.0,0.6035,0.3965
3111513,0.2814,0.3063,0.0,0.3063,0.3283,0.0361,0.048,0.0,0.4095,0.0,0.4095,0.5905,0.0,0.0,0.6028,0.3972
3111601,0.2876,0.3294,0.0,0.3294,0.3052,0.0334,0.0442,0.0,0.4324,0.0,0.4324,0.5676,0.0,0.0,0.5798,0.4202
3111602,0.2878,0.3363,0.0,0.3363,0.2964,0.0336,0.0459,0.0,0.4419,0.0,0.4419,0.5581,0.0,0.0,0.5716,0.4284
