sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1117812,0.1585,0.4639,0.0,0.4639,0.0408,0.0784,0.2583,0.0,0.7037,0.0,0.7037,0.0,0.0,0.2963,0.3051,0.6949
1117813,0.1689,0.4505,0.0,0.4505,0.0497,0.0816,0.2493,0.0,0.6509,0.0,0.6509,0.0,0.0,0.3491,0.3377,0.6623
1117814,0.1713,0.4481,0.0,0.4481,0.0499,0.0827,0.2481,0.0,0.6518,0.0,0.6518,0.0,0.0,0.3482,0.3383,0.6617
1117815,0.1607,0.4535,0.0,0.4535,0.0489,0.0789,0.2581,0.0,0.6417,0.0,0.6417,0.0,0.0,0.3583,0.3341,0.6659
1117816,0.1501,0.4611,0.0,0.4611,0.0498,0.0753,0.2636,0.0,0.6405,0.0,0.6405,0.0,0.0,0.3595,0.3257,0.6743
1117817,0.1671,0.4519,0.0,0.4519,0.0508,0.0804,0.2497,0.0,0.6622,0.0,0.6622,0.0,0.0,0.3378,0.3329,0.6671
1117818,0.1577,0.4608,0.0,0.4608,0.0453,0.0778,0.2584,0.0,0.6954,0.0,0.6954,0.0,0.0,0.3046,0.3096,0.6904
1117819,0.154,0.462,0.0,0.462,0.0495,0.0746,0.2599,0.0,0.678,0.0,0.678,0.0,0.0,0.322,0.3137,0.6863
1117820,0.1481,0.4754,0.0,0.4754,0.0433,0.0737,0.2595,0.0,0.672,0.0,0.672,0.0,0.0,0.328,0.3066,0.6934
1117821,0.1501,0.4819,0.0,0.4819,0.0522,0.0659,0.2499,0.0,0.6643,0.0,0.6643,0.0,0.0,0.3357,0.3138,0.6862
1117822,0.1495,0.4752,0.0,0.4752,0.0561,0.0663,0.253,0.0,0.6598,0.0,0.6598,0.0,0.0,0.3402,0.3202,0.6798
1117823,0.1469,0.4818,0.0,0.4818,0.052,0.0667,0.2526,0.0,0.6616,0.0,0.6616,0.0,0.0,0.3384,0.3131,0.6869
1117824,0.1482,0.4854,0.0,0.4854,0.0511,0.0663,0.249,0.0,0.6694,0.0,0.6694,0.0,0.0,0.3306,0.3088,0.6912
1117825,0.1502,0.4862,0.0,0.4862,0.0521,0.0653,0.2463,0.0,0.6724,0.0,0.6724,0.0,0.0,0.3276,0.3097,0.6903
1117826,0.154,0.4582,0.0,0.4582,0.0659,0.0655,0.2563,0.0,0.6497,0.0,0.6497,0.0,0.0,0.3503,0.3393,0.6607
1117901,0.1275,0.4906,0.0,0.4906,0.0634,0.0663,0.2522,0.0,0.6526,0.0,0.6526,0.0,0.0,0.3474,0.3062,0.6938
1117902,0.1617,0.4462,0.0,0.4462,0.0538,0.0793,0.2589,0.0,0.6389,0.0,0.6389,0.0,0.0,0.3611,0.3392,0.6608
1117903,0.1203,0.5383,0.0,0.5383,0.0403,0.0654,0.2357,0.0,0.7236,0.0,0.7236,0.0,0.0,0.2764,0.2579,0.7421
1117904,0.1402,0.4683,0.0,0.4683,0.0496,0.0724,0.2694,0.0,0.6363,0.0,0.6363,0.0,0.0,0.3637,0.3166,0.6834
1117905,0.1246,0.4128,0.0,0.4128,0.1596,0.0633,0.2397,0.0,0.6518,0.0,0.6518,0.0,0.0,0.3482,0.3248,0.6752
1117906,0.1386,0.4582,0.0,0.4582,0.0503,0.0721,0.2807,0.0,0.6084,0.0,0.6084,0.0,0.0,0.3916,0.3286,0.6714
1117907,0.1377,0.4371,0.0,0.4371,0.0876,0.0687,0.2689,0.0,0.582,0.0,0.582,0.0,0.0,0.418,0.3575,0.6425
1117908,0.129,0.4639,0.0,0.4639,0.0671,0.0692,0.2709,0.0,0.6375,0.0,0.6375,0.0,0.0,0.3625,0.3153,0.6847
1117909,0.1244,0.4741,0.0,0.4741,0.0605,0.0696,0.2714,0.0,0.6636,0.0,0.6636,0.0,0.0,0.3364,0.2939,0.7061
1117910,0.1213,0.4883,0.0,0.4883,0.0484,0.0702,0.2719,0.0,0.6721,0.0,0.6721,0.0,0.0,0.3279,0.2811,0.7189
1117911,0.1209,0.4589,0.0,0.4589,0.1091,0.0664,0.2447,0.0,0.6724,0.0,0.6724,0.0,0.0,0.3276,0.2915,0.7085
1118001,0.138,0.3984,0.0,0.3984,0.0387,0.0607,0.3641,0.0,0.541,0.0,0.541,0.0,0.0,0.459,0.3625,0.6375
1118002,0.1367,0.4036,0.0,0.4036,0.0361,0.0622,0.3614,0.0,0.5442,0.0,0.5442,0.0,0.0,0.4558,0.359,0.641
1118003,0.1388,0.3902,0.0,0.3902,0.0421,0.0626,0.3664,0.0,0.535,0.0,0.535,0.0,0.0,0.465,0.3681,0.6319
1118004,0.1353,0.4052,0.0,0.4052,0.036,0.0606,0.363,0.0,0.5435,0.0,0.5435,0.0,0.0,0.4565,0.3586,0.6414
1118005,0.1376,0.3996,0.0,0.3996,0.0405,0.063,0.3593,0.0,0.5436,0.0,0.5436,0.0,0.0,0.4564,0.3624,0.6376
1118006,0.1389,0.3933,0.0,0.3933,0.0408,0.0617,0.3653,0.0,0.5373,0.0,0.5373,0.0,0.0,0.4627,0.3668,0.6332
1118007,0.1369,0.4028,0.0,0.4028,0.0407,0.0617,0.358,0.0,0.5453,0.0,0.5453,0.0,0.0,0.4547,0.3613,0.6387
1118008,0.1373,0.4,0.0,0.4,0.0382,0.0622,0.3623,0.0,0.5417,0.0,0.5417,0.0,0.0,0.4583,0.3614,0.6386
1118009,0.1368,0.3973,0.0,0.3973,0.0396,0.0616,0.3647,0.0,0.5383,0.0,0.5383,0.0,0.0,0.4617,0.3651,0.6349
1118010,0.1374,0.4011,0.0,0.4011,0.0372,0.0618,0.3625,0.0,0.5419,0.0,0.5419,0.0,0.0,0.4581,0.3604,0.6396
1118011,0.137,0.4004,0.0,0.4004,0.0372,0.0619,0.3636,0.0,0.5409,0.0,0.5409,0.0,0.0,0.4591,0.3611,0.6389
1118012,0.138,0.399,0.0,0.399,0.0388,0.0617,0.3625,0.0,0.5408,0.0,0.5408,0.0,0.0,0.4592,0.3631,0.6369
1118013,0.137,0.3956,0.0,0.3956,0.0358,0.0614,0.3703,0.0,0.5342,0.0,0.5342,0.0,0.0,0.4658,0.3641,0.6359
1118014,0.1323,0.4025,0.0,0.4025,0.0272,0.0546,0.3834,0.0,0.5309,0.0,0.5309,0.0,0.0,0.4691,0.3601,0.6399
1118015,0.14,0.3752,0.0,0.3752,0.0322,0.0619,0.3906,0.0,0.5123,0.0,0.5123,0.0,0.0,0.4877,0.3736,0.6264
1118017,0.1411,0.3996,0.0,0.3996,0.0363,0.057,0.3659,0.0,0.5439,0.0,0.5439,0.0,0.0,0.4561,0.3614,0.6386
1118018,0.137,0.3989,0.0,0.3989,0.0338,0.0622,0.3681,0.0,0.537,0.0,0.537,0.0,0.0,0.463,0.361,0.639
1118019,0.1396,0.4041,0.0,0.4041,0.0471,0.0645,0.3447,0.0,0.5548,0.0,0.5548,0.0,0.0,0.4452,0.3609,0.6391
1118020,0.1392,0.3877,0.0,0.3877,0.0387,0.0633,0.3711,0.0,0.5301,0.0,0.5301,0.0,0.0,0.4699,0.3688,0.6312
1118021,0.1397,0.3898,0.0,0.3898,0.0394,0.0628,0.3683,0.0,0.5348,0.0,0.5348,0.0,0.0,0.4652,0.3668,0.6332
1118101,0.1499,0.4213,0.0,0.4213,0.072,0.0708,0.286,0.0,0.6102,0.0,0.6102,0.0,0.0,0.3898,0.3612,0.6388
1118102,0.1492,0.4241,0.0,0.4241,0.0676,0.0713,0.2879,0.0,0.6116,0.0,0.6116,0.0,0.0,0.3884,0.3589,0.6411
1118103,0.1408,0.4278,0.0,0.4278,0.0506,0.0685,0.3124,0.0,0.5928,0.0,0.5928,0.0,0.0,0.4072,0.3498,0.6502
1118104,0.1365,0.4043,0.0,0.4043,0.0415,0.0629,0.3548,0.0,0.5494,0.0,0.5494,0.0,0.0,0.4506,0.3617,0.6383
1118105,0.1089,0.4538,0.0,0.4538,0.0322,0.0756,0.3295,0.0,0.611,0.0,0.611,0.0,0.0,0.389,0.2989,0.7011
